input,output,instruction
"What are the criteria for letter grades and their corresponding grade points at FAST NU?
"," A+ 4.00, A 4.00, A- 3.67, B+ 3.33, B 3.00, B- 2.67, C+ 2.33, C 2.00, C- 1.67, D+ 1.33, D 1.00, F 0.00",
Is Bachelor of Science (Business Analytics) offered in Chiniot-Faisalabad?,Yes,
Which financial institutions provide loans for students?,"Students can get loans from PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB.",
Is Overlord of Business organization Administration proffer in Karachi?,No,
How many courses do students typically take per semester at FAST NU?," Each course is assigned credit hours. For theory courses 1 credit hour means 1 hour of lecturing per week, while for lab courses 1 credit hour means 3 hours of lab-work per week. For example, a 3+1 credit hour course carries 3 hours of lectures and 3 hours of lab-work per week. Normal course load for undergraduate students is as prescribed in the study plan.",
Is Maestro of Skill (Civil Engineering science) offered in Program Type?,No,
Is Doctor of Philosophy (Software Engineering) offered in Islamabad?,Yes,
Be Bachelor of Science (Business Analytics) offer in Broadcast Type?,No,
When is the Starting time of classes for BBA b vitamin (Vitamin a & Fluorine) & b?,Aug 19 (Mon),
What make up the reference for Academics in Karachi?,ext: 264,
Is Bachelor of Science (Computer Science) offered in Peshawar?,Yes,
Ar there MBA programme in Karachi?,"No, the Master of Business Administration program is not offered in Karachi.",
What courses are typically offer in Semester quaternity at FAST NU?," Computing Elective-lll 3+0, AI MS Thesis-II/MS Project-1 0+3. Total 3+3",
Can 1 make out MS in Software Technology in Lahore?,"Yes, the Master of Science in Software Engineering program is offered in Lahore.",
"What courses are typically offered in Semester 3 at FAST NU?
"," Computing Elective-Il 3+0, AI MS Thesis-1/MS Project-1 0+3. Total 3+3",
"What constitutes an academic warning or probation at FAST NU?
"," At the end of every semester (including summer semester), warning is issued if the CGPA of a student is less than the minimum required for graduation. Minimum CGPA required to avoid academic warning, BS/BBA programs 2.00, MS/MBA programs 2.50, PhD programs 3.00. a) A student on academic warning needs the approval of the Head of Department to register in desired courses. If, after a semester, the CGPA of a student is less than the required minimum, the Warning Count increases by one. c) If the Warning Count becomes three, admission of the student in the University is closed. d) If after receiving warning, CGPA improves and equals or exceeds the required minimum, the Warning Count is reset to zero.",
Is Bachelor of Science (Civil Engineering) offered in Program Type?,No,
Is Bachelor of Science (Financial Applied science) offer in Chiniot - Faisalabad?,Yes,
Is Bachelor of Science (Computer Science) offered in Program Type?,No,
How perform fasting NU handle the transfer of credits from other institutions?,"Students may transfer credits from other accredited institutions, subject to approval by the program's academic committee. Transfer credits must meet the program's criteria and are typically limited to a certain number of credit hours. Students seeking to transfer credits should submit their transcripts and course descriptions for evaluation.",
"What are the requirements and process for the Project Option at FAST NU?
","Students who choose the project option work on a practical software project, often in collaboration with an industry partner. The project must address a real-world problem and demonstrate the student’s ability to apply project management principles to deliver a software solution.",
What be involve in the Final Year Project at FAST NU?,The program includes a mandatory final year project where students apply their skills in data science and computing to real-world problems.,
What is the tuition fee fee per quotation hour for the academic year 2024 - 25?,"Rs. 10,000",
What is the propagation for the Director in Peshawar?,ext: 102,
